school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject
GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,False,,True,True,True,True,True,False,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14,math
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,False,True,True,False,True,True,True,False,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11,math
GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,False,True,False,,True,True,,True,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16,math
GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,False,True,,False,True,True,True,False,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14,math
GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,False,True,True,True,True,True,True,False,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14,math
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,,True,True,False,True,True,True,False,False,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,,10,math
,M,17.0,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,False,True,False,True,True,True,True,False,5.0,5.0,,2.0,4.0,5.0,16.0,6.0,5.0,5,math
GP,M,16.0,U,LE3,T,4.0,3.0,health,other,home,father,,1.0,0.0,False,False,True,True,True,True,,,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10,math
GP,,15.0,U,GT3,T,,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,False,False,False,False,True,True,True,False,,4.0,1.0,1.0,1.0,1.0,,13.0,14.0,15,math
GP,M,15.0,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,False,True,True,False,True,True,True,False,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15,math
GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,False,False,False,True,True,True,,False,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16,math
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,False,True,False,True,True,True,True,False,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12,math
GP,F,15.0,R,GT3,T,2.0,4.0,,health,course,,1.0,3.0,0.0,True,True,True,True,True,True,True,False,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8,math
GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,,2.0,False,True,True,False,False,True,True,False,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8,math
,M,15.0,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,,False,True,True,False,True,True,True,False,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11,math
GP,M,15.0,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,False,False,True,False,True,True,True,False,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15,math
GP,M,16.0,U,LE3,A,3.0,4.0,services,other,home,,1.0,2.0,0.0,True,True,False,True,True,True,True,False,5.0,3.0,3.0,1.0,1.0,,4.0,11.0,11.0,11,math
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,False,True,True,True,,True,True,True,4.0,4.0,5.0,,5.0,5.0,16.0,10.0,12.0,11,math
,M,15.0,U,GT3,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,False,True,True,False,False,True,,False,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12,math
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,False,True,False,True,True,True,True,,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17,math
GP,M,15.0,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,False,True,False,True,True,True,True,,4.0,5.0,2.0,1.0,1.0,5.0,0.0,17.0,16.0,16,math
GP,M,15.0,U,LE3,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,False,False,False,True,False,True,True,False,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12,math
GP,M,16.0,U,GT3,T,3.0,2.0,other,other,,mother,1.0,1.0,0.0,False,True,True,False,False,True,True,False,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15,math
GP,F,15.0,U,GT3,T,2.0,3.0,other,other,other,father,2.0,1.0,0.0,False,True,False,True,True,True,,False,3.0,5.0,1.0,1.0,1.0,5.0,0.0,8.0,7.0,6,math
GP,M,15.0,U,LE3,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,False,True,False,,True,True,True,False,5.0,4.0,3.0,1.0,1.0,4.0,2.0,15.0,16.0,18,math
GP,M,16.0,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,2.0,3.0,0.0,False,True,False,True,True,True,True,True,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,16.0,15,
GP,F,,R,GT3,T,3.0,4.0,services,health,course,mother,1.0,,0.0,True,True,True,True,True,True,,False,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11,math
GP,F,15.0,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,True,True,True,True,True,True,,False,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13,math
GP,F,16.0,U,LE3,T,2.0,,other,other,home,mother,2.0,2.0,,False,True,False,True,False,True,True,True,3.0,3.0,3.0,1.0,2.0,3.0,25.0,7.0,10.0,11,math
GP,M,15.0,U,LE3,T,4.0,4.0,teacher,other,home,other,1.0,,0.0,False,True,False,,False,True,True,True,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12,math
,M,15.0,U,,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,,True,False,True,True,True,True,,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18,math
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,True,True,False,False,True,True,True,False,5.0,,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11,math
GP,F,16.0,U,LE3,T,2.0,2.0,other,at_home,course,father,2.0,2.0,1.0,True,False,False,True,True,True,True,False,4.0,3.0,3.0,2.0,2.0,5.0,14.0,,10.0,9,math
GP,F,15.0,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,,True,True,True,,True,True,True,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6,math
GP,F,16.0,U,LE3,A,3.0,3.0,other,services,home,mother,,2.0,0.0,False,True,False,False,True,True,True,False,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,,11,math
GP,M,16.0,U,GT3,T,4.0,3.0,health,services,reputation,mother,1.0,4.0,0.0,False,False,False,True,True,,True,False,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20,math
GP,M,15.0,U,GT3,,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,False,True,True,False,True,True,,False,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14,math
GP,F,15.0,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,2.0,1.0,True,True,False,True,False,True,True,False,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7,math
GP,F,16.0,U,LE3,T,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,False,True,True,False,True,True,True,False,4.0,3.0,3.0,2.0,3.0,4.0,2.0,12.0,13.0,13,math
GP,F,15.0,U,LE3,T,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,False,True,True,False,True,True,True,False,4.0,3.0,3.0,1.0,1.0,5.0,2.0,11.0,13.0,13,math
GP,M,15.0,U,LE3,A,4.0,2.0,health,health,other,father,2.0,1.0,1.0,False,False,False,False,True,True,,False,5.0,,5.0,3.0,4.0,5.0,6.0,11.0,11.0,10,math
GP,F,15.0,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,True,True,True,False,True,True,True,False,3.0,3.0,4.0,2.0,3.0,,0.0,8.0,10.0,11,math
GP,F,15.0,U,LE3,A,3.0,3.0,other,other,other,mother,1.0,,0.0,False,False,True,False,,True,True,False,5.0,3.0,4.0,4.0,4.0,1.0,6.0,10.0,13.0,13,math
GP,F,16.0,U,GT3,A,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,False,False,True,True,True,True,True,True,5.0,3.0,4.0,1.0,1.0,2.0,8.0,8.0,9.0,10,math
GP,F,15.0,U,GT3,A,4.0,3.0,services,services,reputation,mother,,2.0,0.0,False,True,True,True,True,True,True,False,4.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0,15.0,15,math
GP,M,,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,False,True,False,True,True,True,False,False,3.0,2.0,,1.0,1.0,5.0,4.0,14.0,15.0,15,math
GP,M,15.0,U,LE3,T,1.0,2.0,,at_home,home,father,1.0,2.0,0.0,True,True,False,True,True,True,True,False,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0,10.0,9,math
GP,F,16.0,U,GT3,T,4.0,2.0,services,other,course,mother,1.0,2.0,0.0,False,True,False,False,True,True,True,False,4.0,2.0,3.0,1.0,,5.0,2.0,15.0,,16,math
GP,F,16.0,R,GT3,T,4.0,4.0,health,teacher,other,mother,,2.0,0.0,False,True,False,True,True,True,False,False,2.0,,4.0,2.0,3.0,4.0,6.0,10.0,11.0,11,math
GP,F,16.0,U,GT3,T,1.0,1.0,services,services,course,father,4.0,1.0,0.0,,True,False,True,False,True,True,True,5.0,,5.0,5.0,5.0,,6.0,,8.0,11,math
GP,F,16.0,U,LE3,T,1.0,2.0,other,services,reputation,,1.0,2.0,0.0,True,False,False,True,True,True,True,False,4.0,4.0,3.0,1.0,1.0,1.0,4.0,8.0,,9,math
GP,F,16.0,U,GT3,T,4.0,3.0,teacher,health,home,mother,1.0,3.0,0.0,True,True,True,True,True,True,True,False,3.0,4.0,4.0,2.0,4.0,4.0,2.0,10.0,9.0,9,math
GP,F,15.0,U,LE3,T,4.0,3.0,services,services,reputation,father,1.0,2.0,,True,False,False,True,True,True,True,True,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0,,10,math
GP,F,16.0,,LE3,T,4.0,3.0,teacher,services,course,mother,3.0,,0.0,False,True,False,True,True,True,True,False,5.0,4.0,3.0,1.0,2.0,1.0,2.0,16.0,15.0,15,math
GP,M,15.0,U,GT3,A,4.0,4.0,other,services,reputation,mother,1.0,4.0,0.0,False,True,False,True,False,True,True,True,1.0,3.0,,5.0,5.0,3.0,4.0,13.0,13.0,12,math
GP,F,16.0,U,GT3,T,3.0,1.0,services,other,course,mother,1.0,4.0,0.0,True,,True,False,True,,True,,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,,6,math
,F,15.0,R,LE3,T,2.0,2.0,health,services,,mother,2.0,2.0,0.0,True,True,True,False,True,True,,False,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0,9.0,8,
GP,F,15.0,R,LE3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,False,True,False,False,False,True,,False,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0,,16,math
GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,False,True,True,False,True,True,True,False,4.0,3.0,2.0,1.0,,5.0,0.0,13.0,15.0,15,math
GP,M,15.0,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,False,False,False,False,True,True,True,False,3.0,3.0,3.0,1.0,,3.0,0.0,10.0,10.0,10,
GP,F,15.0,R,GT3,T,,1.0,other,other,reputation,mother,1.0,2.0,2.0,True,True,False,False,False,True,True,True,3.0,3.0,4.0,2.0,4.0,5.0,2.0,8.0,6.0,5,math
GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,mother,,1.0,0.0,False,False,False,True,True,True,False,,5.0,3.0,2.0,2.0,2.0,5.0,2.0,12.0,,14,math
GP,F,16.0,U,GT3,T,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,,True,True,True,True,True,,False,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11.0,,11,math
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,False,,True,True,True,True,True,False,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9.0,,10,math
GP,M,15.0,U,GT3,T,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,False,False,False,,True,True,True,False,,4.0,3.0,1.0,1.0,1.0,8.0,,11.0,10,math
GP,F,16.0,U,GT3,T,2.0,2.0,other,other,,mother,1.0,4.0,,False,False,True,False,True,True,True,True,5.0,2.0,3.0,1.0,3.0,3.0,0.0,,11.0,11,math
GP,M,17.0,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,,True,False,True,True,False,True,False,4.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,8.0,10,math
GP,F,16.0,U,GT3,T,3.0,4.0,at_home,other,,mother,1.0,,0.0,False,True,False,False,True,True,True,False,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5.0,5.0,5,math
GP,M,15.0,U,GT3,T,2.0,3.0,other,services,course,father,1.0,1.0,0.0,True,True,True,True,False,True,True,True,3.0,2.0,,1.0,3.0,3.0,2.0,10.0,12.0,12,math
GP,M,15.0,U,GT3,T,2.0,3.0,other,other,home,mother,1.0,3.0,0.0,True,False,True,False,False,True,True,False,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11.0,10.0,11,math
GP,F,15.0,U,LE3,T,3.0,,services,other,reputation,mother,1.0,2.0,0.0,False,True,True,False,True,True,True,False,4.0,4.0,4.0,1.0,1.0,5.0,10.0,,6.0,6,math
GP,M,,U,LE3,T,2.0,2.0,services,services,home,mother,2.0,2.0,0.0,False,False,True,True,True,True,True,False,,3.0,3.0,1.0,3.0,4.0,4.0,15.0,15.0,15,math
GP,F,15.0,U,GT3,T,1.0,1.0,other,other,home,father,1.0,2.0,0.0,False,True,False,,False,True,True,False,4.0,3.0,2.0,2.0,3.0,,2.0,9.0,10.0,10,math
GP,F,15.0,U,GT3,T,4.0,4.0,services,services,reputation,father,2.0,2.0,2.0,False,False,True,False,True,True,True,,4.0,4.0,4.0,2.0,3.0,5.0,6.0,7.0,9.0,8,math
GP,F,16.0,U,LE3,,2.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,False,True,False,False,True,True,False,False,4.0,3.0,4.0,1.0,2.0,2.0,4.0,8.0,7.0,6,math
GP,F,15.0,U,GT3,T,4.0,2.0,other,other,reputation,,1.0,3.0,0.0,False,True,False,True,True,,True,False,,3.0,3.0,1.0,3.0,1.0,4.0,,14.0,14,math
GP,M,16.0,U,GT3,T,2.0,2.0,services,other,reputation,father,2.0,2.0,1.0,False,False,True,True,False,True,True,False,4.0,4.0,2.0,1.0,1.0,3.0,12.0,11.0,,10,math
GP,M,16.0,U,LE3,A,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,,False,True,False,False,True,True,False,False,4.0,1.0,3.0,3.0,5.0,5.0,18.0,8.0,6.0,7,math
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,mother,1.0,3.0,0.0,False,,True,False,True,True,True,True,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7.0,7.0,8,math
GP,F,15.0,,GT3,,4.0,3.0,services,other,reputation,mother,1.0,1.0,0.0,False,False,True,True,True,True,True,False,4.0,5.0,5.0,1.0,3.0,1.0,,16.0,17.0,18,math
GP,F,16.0,U,LE3,T,3.0,1.0,other,other,home,,1.0,,0.0,True,True,False,False,True,True,,False,3.0,3.0,3.0,2.0,3.0,2.0,4.0,7.0,6.0,6,math
GP,F,16.0,U,GT3,T,4.0,2.0,teacher,,home,mother,2.0,2.0,0.0,False,True,True,True,True,True,True,,5.0,3.0,3.0,1.0,1.0,1.0,0.0,11.0,10.0,10,math
GP,M,15.0,U,LE3,T,2.0,2.0,services,health,reputation,mother,1.0,4.0,0.0,False,True,False,True,True,True,True,False,,3.0,4.0,1.0,1.0,4.0,6.0,,13.0,14,math
GP,F,15.0,,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,4.0,1.0,True,True,True,True,True,True,True,False,3.0,1.0,2.0,,1.0,1.0,2.0,7.0,10.0,10,math
GP,M,16.0,R,GT3,T,4.0,3.0,services,other,reputation,mother,2.0,1.0,0.0,True,True,False,True,False,True,True,False,3.0,3.0,3.0,1.0,1.0,4.0,2.0,11.0,15.0,15,math
GP,F,16.0,U,GT3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,False,True,True,False,True,True,False,True,4.0,3.0,5.0,1.0,1.0,5.0,2.0,8.0,9.0,10,
GP,F,16.0,U,GT3,T,4.0,4.0,other,other,reputation,mother,1.0,1.0,0.0,False,False,False,True,False,True,True,False,5.0,3.0,4.0,1.0,2.0,1.0,6.0,11.0,,14,math
GP,F,16.0,U,GT3,T,4.0,3.0,other,at_home,course,mother,1.0,3.0,0.0,True,True,True,False,True,True,True,False,5.0,3.0,5.0,1.0,1.0,3.0,0.0,7.0,9.0,8,math
GP,M,16.0,U,GT3,T,4.0,4.0,services,services,other,mother,1.0,1.0,0.0,True,,True,True,True,True,,False,,5.0,5.0,5.0,5.0,4.0,14.0,7.0,7.0,5,math
GP,M,16.0,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,3.0,0.0,False,True,False,True,True,True,True,True,4.0,4.0,3.0,1.0,1.0,,,16.0,17.0,17,math
GP,M,15.0,U,GT3,T,4.0,4.0,services,,course,mother,1.0,1.0,0.0,False,True,False,True,False,True,,False,5.0,3.0,3.0,1.0,1.0,5.0,,10.0,13.0,14,math
GP,F,15.0,U,GT3,,,2.0,services,other,home,mother,2.0,2.0,0.0,True,True,True,False,True,True,True,False,4.0,3.0,5.0,1.0,1.0,2.0,26.0,,6.0,6,math
GP,M,15.0,U,GT3,A,3.0,4.0,services,other,course,mother,1.0,2.0,0.0,False,True,,True,True,True,True,False,5.0,4.0,4.0,1.0,1.0,1.0,0.0,16.0,18.0,18,math
GP,F,15.0,U,GT3,A,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,True,False,False,False,True,True,False,False,4.0,,3.0,1.0,1.0,4.0,10.0,10.0,,11,math
GP,,15.0,U,GT3,,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,True,True,True,False,True,True,,False,5.0,,2.0,1.0,,3.0,8.0,7.0,,8,math
GP,M,16.0,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,0.0,False,True,False,True,True,True,True,False,5.0,3.0,3.0,1.0,1.0,5.0,,,18.0,18,math
GP,M,15.0,R,GT3,,4.0,4.0,other,other,home,,4.0,4.0,0.0,False,True,True,True,True,True,True,True,1.0,3.0,5.0,3.0,5.0,1.0,6.0,10.0,13.0,13,
GP,F,16.0,U,LE3,T,4.0,4.0,health,health,,mother,1.0,3.0,0.0,False,True,True,True,True,True,True,True,5.0,4.0,5.0,1.0,1.0,,,14.0,15.0,16,math
GP,M,15.0,U,LE3,A,4.0,4.0,teacher,teacher,,mother,1.0,1.0,0.0,False,False,False,True,True,True,True,False,5.0,5.0,3.0,1.0,1.0,4.0,6.0,18.0,19.0,19,math
GP,F,16.0,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,1.0,True,True,False,True,,True,True,False,4.0,1.0,2.0,1.0,1.0,2.0,0.0,7.0,10.0,10,math
GP,F,16.0,U,GT3,T,2.0,2.0,at_home,other,,mother,1.0,2.0,1.0,True,False,False,True,,True,True,False,,1.0,2.0,1.0,1.0,5.0,6.0,10.0,,13,math
GP,M,15.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,1.0,0.0,False,False,False,False,True,True,True,False,3.0,5.0,2.0,1.0,,3.0,10.0,18.0,19.0,19,math
GP,M,15.0,R,GT3,T,2.0,1.0,health,services,reputation,mother,1.0,2.0,0.0,False,False,False,True,True,True,True,True,,4.0,2.0,1.0,1.0,5.0,8.0,9.0,9.0,9,math
GP,M,16.0,U,,T,4.0,,teacher,teacher,course,father,1.0,2.0,0.0,False,True,False,True,True,True,True,False,5.0,4.0,4.0,1.0,2.0,5.0,2.0,15.0,15.0,16,math
GP,M,15.0,U,GT3,T,4.0,4.0,other,teacher,reputation,father,2.0,2.0,0.0,False,True,False,True,True,True,,False,4.0,4.0,3.0,1.0,1.0,2.0,2.0,11.0,13.0,14,math
GP,M,16.0,U,GT3,T,3.0,3.0,other,services,home,father,2.0,1.0,,False,False,False,True,,True,True,False,5.0,4.0,2.0,1.0,1.0,5.0,0.0,13.0,14.0,13,math
GP,M,17.0,,GT3,T,1.0,3.0,other,other,course,father,3.0,2.0,1.0,False,True,False,True,True,True,True,False,5.0,2.0,,1.0,4.0,5.0,20.0,9.0,7.0,8,math
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,reputation,father,1.0,1.0,0.0,False,False,False,False,True,True,True,False,3.0,4.0,3.0,1.0,2.0,4.0,6.0,14.0,13.0,13,math
GP,F,15.0,U,GT3,T,1.0,2.0,at_home,services,course,mother,1.0,2.0,0.0,False,False,False,False,False,True,True,False,3.0,2.0,3.0,1.0,2.0,1.0,2.0,16.0,,15,math
GP,M,15.0,U,GT3,T,2.0,2.0,services,services,home,father,1.0,4.0,0.0,,True,True,True,True,True,True,False,,5.0,4.0,1.0,2.0,5.0,6.0,16.0,14.0,15,math
GP,,16.0,U,LE3,T,2.0,4.0,other,health,course,father,2.0,2.0,0.0,False,True,True,True,,True,True,True,4.0,2.0,2.0,1.0,2.0,5.0,2.0,13.0,13.0,13,math
GP,M,16.0,U,GT3,,4.0,4.0,health,other,course,mother,1.0,1.0,0.0,False,,False,,True,True,True,False,3.0,4.0,4.0,1.0,4.0,5.0,18.0,14.0,11.0,13,math
GP,F,16.0,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,False,False,True,,True,True,,True,5.0,4.0,4.0,1.0,1.0,5.0,0.0,8.0,7.0,8,math
GP,M,15.0,U,GT3,T,3.0,4.0,services,services,home,father,1.0,,0.0,True,False,False,False,True,True,True,False,5.0,5.0,5.0,3.0,2.0,5.0,0.0,13.0,13.0,12,math
,F,15.0,U,LE3,A,3.0,4.0,other,other,home,mother,1.0,2.0,,True,False,False,True,True,True,True,True,5.0,3.0,2.0,1.0,1.0,1.0,0.0,7.0,10.0,11,math
GP,F,19.0,U,GT3,T,0.0,1.0,at_home,other,course,,1.0,2.0,3.0,False,True,,False,False,False,False,False,3.0,4.0,2.0,1.0,1.0,5.0,2.0,7.0,8.0,9,math
GP,M,18.0,R,GT3,T,2.0,2.0,services,other,reputation,mother,1.0,1.0,2.0,False,True,False,True,True,True,True,False,3.0,3.0,3.0,1.0,2.0,4.0,0.0,7.0,4.0,0,math
GP,M,16.0,R,GT3,T,4.0,4.0,,teacher,course,mother,1.0,1.0,0.0,False,False,True,True,True,True,True,False,,5.0,5.0,2.0,5.0,4.0,8.0,18.0,,18,math
GP,,15.0,R,GT3,T,3.0,4.0,services,teacher,course,father,,3.0,2.0,False,True,False,False,True,True,True,True,4.0,2.0,2.0,2.0,2.0,5.0,0.0,12.0,0.0,0,math
GP,F,15.0,U,GT3,T,1.0,1.0,at_home,other,course,mother,3.0,1.0,0.0,False,True,False,True,False,True,True,True,4.0,3.0,3.0,1.0,2.0,4.0,0.0,8.0,0.0,0,math
GP,F,17.0,U,LE3,T,2.0,2.0,other,other,course,father,1.0,1.0,0.0,False,True,False,False,True,True,True,True,3.0,4.0,4.0,1.0,,5.0,12.0,10.0,13.0,12,math
GP,F,16.0,U,GT3,A,3.0,4.0,services,other,course,father,1.0,1.0,0.0,False,False,False,False,True,True,True,False,3.0,2.0,1.0,1.0,4.0,5.0,16.0,12.0,11.0,11,math
GP,M,15.0,R,GT3,T,3.0,,at_home,teacher,course,mother,4.0,2.0,0.0,False,True,False,False,True,True,False,True,5.0,3.0,3.0,1.0,1.0,5.0,0.0,9.0,0.0,0,math
GP,F,15.0,U,GT3,T,4.0,4.0,services,at_home,course,mother,1.0,3.0,0.0,False,True,False,True,True,True,,True,4.0,3.0,3.0,1.0,1.0,5.0,0.0,11.0,0.0,0,math
GP,M,17.0,R,GT3,T,3.0,4.0,at_home,other,course,mother,3.0,2.0,0.0,False,False,False,False,True,True,False,False,5.0,4.0,5.0,2.0,4.0,5.0,0.0,,0.0,0,math
GP,F,16.0,U,GT3,A,3.0,3.0,other,other,course,,2.0,1.0,,False,,False,True,False,True,True,True,4.0,,2.0,1.0,1.0,5.0,0.0,4.0,0.0,0,math
